,Q1,Q2,Q3,Q4,2018
4092,52.0,24.0,24.0,36.0,
4093,10.0,8.0,9.0,11.0,
4094,17.0,11.0,10.0,16.0,
4095,37.0,20.0,22.0,22.0,
4096,48.0,26.0,29.0,30.0,
4097,7.0,3.0,2.0,3.0,
4098,10.0,6.0,7.0,8.0,
4099,27.0,21.0,20.0,26.0,
4100,50.0,31.0,32.0,35.0,
4101,17.0,8.0,9.0,9.0,
4102,30.0,13.0,16.0,16.0,
4103,4.0,2.0,4.0,4.0,
4104,6.0,4.0,4.0,5.0,
4105,27.0,12.0,9.0,9.0,
4106,33.0,7.0,12.0,13.0,
4107,27.0,16.0,15.0,15.0,
4108,41.0,19.0,20.0,24.0,
4109,13.0,7.0,7.0,8.0,
4110,20.0,11.0,10.0,14.0,
4111,3.0,2.0,1.0,2.0,
4112,5.0,2.0,2.0,2.0,
4113,4.0,4.0,11.0,4.0,
4114,6.0,4.0,4.0,5.0,
4115,32.0,17.0,31.0,21.0,
4116,50.0,23.0,26.0,34.0,
4117,58.0,35.0,36.0,35.0,
4118,76.0,42.0,42.0,65.0,
4119,2.0,1.0,1.0,2.0,
4120,6.0,3.0,3.0,5.0,
4121,2.0,2.0,2.0,1.0,
